round_id,hand_number,player_cards,dealer_cards,actions,bet_amount,final_result,blackjack,busted,strategy_used,bet_mode,true_count_prev_round,running_count_end,true_count_end,cards_remaining,decks_remaining
475,1,"5,9,A","Q,10","double,stand",20.0,lose,False,False,random-dfs,fixed,-0.171,-2.0,-0.006,300,5.769
476,1,"A,8,7","J,J","double,stand",20.0,lose,False,False,random-dfs,fixed,-0.347,-3.0,-0.01,296,5.692
476,1,"A,8,7,A,7","J,J","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,-0.347,-4.0,-0.013,296,5.692
476,1,"A,8,7,A","J,J","hit,hit,stand",10.0,lose,False,False,random-dfs,fixed,-0.347,-4.0,-0.013,296,5.692
476,1,"A,8,7","J,J","hit,stand",10.0,lose,False,False,random-dfs,fixed,-0.347,-3.0,-0.01,296,5.692
476,1,"A,8","J,J",stand,10.0,lose,False,False,random-dfs,fixed,-0.347,-3.0,-0.01,296,5.692
477,1,"7,A,3","7,8,8","double,stand",20.0,win,False,False,random-dfs,fixed,-0.878,0.0,0.0,292,5.615
477,1,"7,A,3","7,8,8","hit,stand",10.0,win,False,False,random-dfs,fixed,-0.878,0.0,0.0,292,5.615
477,1,"7,A","7,8,3",stand,10.0,push,False,False,random-dfs,fixed,-0.878,0.0,0.0,292,5.615
478,1,"3,8,8,8","K,10","hit,hit",10.0,lose,False,True,random-dfs,fixed,-1.068,-1.0,-0.003,288,5.538
478,1,"3,8,8","K,10","hit,stand",10.0,lose,False,False,random-dfs,fixed,-1.068,-1.0,-0.003,288,5.538
478,1,"3,8,8","K,10","double,stand",20.0,lose,False,False,random-dfs,fixed,-1.068,-1.0,-0.003,288,5.538
478,1,"3,8","K,10",stand,10.0,lose,False,False,random-dfs,fixed,-1.068,-1.0,-0.003,288,5.538
479,1,"8,8","7,J",stand,10.0,lose,False,False,random-dfs,fixed,-1.264,-1.0,-0.003,284,5.462
479,1,"8,8,4","7,J","double,stand",20.0,win,False,False,random-dfs,fixed,-1.264,0.0,0.0,284,5.462
479,1,"8,8,4","7,J","hit,stand",10.0,win,False,False,random-dfs,fixed,-1.264,0.0,0.0,284,5.462
479,1,"8,8,4,9","7,J","hit,hit",10.0,lose,False,True,random-dfs,fixed,-1.264,0.0,0.0,284,5.462
480,1,"4,9,5","7,5,8","double,stand",20.0,lose,False,False,random-dfs,fixed,-1.465,3.0,0.01,280,5.385
480,1,"4,9,5","7,5,8","hit,stand",10.0,lose,False,False,random-dfs,fixed,-1.465,3.0,0.01,280,5.385
480,1,"4,9,5,8","7,5,Q","hit,hit",10.0,lose,False,True,random-dfs,fixed,-1.465,2.0,0.006,280,5.385
480,1,"4,9","7,5,5",stand,10.0,lose,False,False,random-dfs,fixed,-1.465,3.0,0.01,280,5.385
